iter	MultiClass
0	1.676841011
1	1.503955828
2	1.404842692
3	1.323204154
4	1.264333601
5	1.218783011
6	1.180710213
7	1.147117821
8	1.12202655
9	1.101407104
10	1.08381478
11	1.068378195
12	1.054500905
13	1.040214284
14	1.028277382
15	1.018011637
16	1.007763438
17	0.9986885821
18	0.9926454916
19	0.9858931681
20	0.9795666505
21	0.9720633645
22	0.9679087791
23	0.9633255338
24	0.9582223479
25	0.9525000187
26	0.9463958956
27	0.9419041976
28	0.9377788494
29	0.9322219308
30	0.9276757349
31	0.9249071559
32	0.921961825
33	0.9169019936
34	0.9146586341
35	0.9088521996
36	0.9051738861
37	0.9008579088
38	0.8980501982
39	0.8954065983
40	0.8927971816
41	0.8894569067
42	0.8869753284
43	0.8821009446
44	0.8804936522
45	0.8771688235
46	0.871608471
47	0.8682442424
48	0.8653825218
49	0.8617658319
50	0.8582078484
51	0.855647608
52	0.8531075864
53	0.8499326123
54	0.8474139697
55	0.8416250664
56	0.83916329
57	0.836804602
58	0.8326344446
59	0.8285080117
60	0.825101806
61	0.8209881822
62	0.8179775323
63	0.815348062
64	0.8143823191
65	0.8122783895
66	0.8063276542
67	0.8034521338
68	0.7983519581
69	0.7954753688
70	0.7902479473
71	0.7868069215
72	0.7836608844
73	0.780454794
74	0.7778097035
75	0.7755155775
76	0.7723755389
77	0.7695549988
78	0.7685468978
79	0.7665415225
80	0.7627170703
81	0.7584958014
82	0.752067104
83	0.7473348743
84	0.7431598101
85	0.7401757027
86	0.7370252345
87	0.734671974
88	0.7316810762
89	0.7286892169
90	0.7262452352
91	0.7226752459
92	0.7211729721
93	0.7178422798
94	0.716246635
95	0.7137439168
96	0.7113142762
97	0.7097139452
98	0.7083258626
99	0.7052065706
100	0.7022102063
101	0.6977060667
102	0.6955279197
103	0.6925614032
104	0.6899705535
105	0.687748801
106	0.6852115118
107	0.6833040971
108	0.6809376539
109	0.6787288537
110	0.6755412608
111	0.6737562298
112	0.6722286396
113	0.6693007718
114	0.6667975539
115	0.6645941219
116	0.6616476834
117	0.6590084858
118	0.6574388713
119	0.653056486
120	0.6508135962
121	0.6487907905
122	0.6454662113
123	0.6413011306
124	0.6396309399
125	0.63709737
126	0.6351202622
