iter	Passed	Remaining
0	15	5430
1	30	5310
2	45	5210
3	60	5209
4	74	5117
5	86	4975
6	99	4852
7	111	4786
8	125	4749
9	138	4699
10	151	4669
11	163	4613
12	175	4549
13	187	4492
14	199	4446
15	211	4418
16	224	4394
17	238	4394
18	251	4386
19	265	4374
20	277	4353
21	290	4328
22	302	4296
23	314	4267
24	325	4233
25	338	4218
26	352	4213
27	366	4209
28	377	4182
29	390	4162
30	402	4144
31	414	4118
32	426	4099
33	439	4084
34	451	4067
35	464	4052
36	479	4052
37	491	4032
38	504	4019
39	518	4018
40	531	4007
41	543	3987
42	556	3970
43	568	3956
44	583	3955
45	598	3953
46	611	3940
47	623	3921
48	634	3898
49	647	3885
50	661	3875
51	673	3856
52	685	3839
53	698	3828
54	710	3811
55	722	3792
56	735	3778
57	746	3760
58	759	3746
59	772	3731
60	784	3715
61	796	3699
62	809	3687
63	822	3675
64	836	3666
65	847	3647
66	859	3631
67	873	3620
68	885	3606
69	898	3592
70	911	3583
71	924	3571
72	938	3562
73	952	3551
74	964	3534
75	976	3520
76	988	3505
77	1001	3492
78	1014	3478
79	1026	3464
80	1039	3450
81	1052	3438
82	1063	3420
83	1075	3407
84	1088	3393
85	1100	3379
86	1112	3362
87	1124	3347
88	1137	3334
89	1150	3322
90	1162	3308
91	1174	3292
92	1186	3278
93	1199	3266
94	1211	3251
95	1223	3235
96	1234	3221
97	1246	3205
98	1259	3193
99	1271	3178
100	1284	3167
101	1298	3156
102	1310	3142
103	1322	3127
104	1334	3112
105	1346	3099
106	1359	3086
107	1371	3072
108	1382	3057
109	1396	3046
110	1409	3035
111	1422	3022
112	1433	3007
113	1446	2994
114	1459	2981
115	1471	2967
116	1483	2953
117	1496	2942
118	1509	2930
119	1522	2918
120	1534	2904
121	1548	2893
122	1560	2879
123	1572	2866
124	1586	2854
125	1598	2841
126	1610	2828
127	1622	2814
128	1634	2800
129	1646	2787
130	1659	2774
131	1671	2760
132	1683	2746
133	1696	2733
134	1709	2722
135	1722	2710
136	1734	2696
137	1746	2683
138	1759	2670
139	1771	2657
140	1782	2642
141	1795	2630
142	1808	2617
143	1821	2605
144	1833	2592
145	1845	2578
146	1857	2565
147	1870	2553
148	1882	2539
149	1894	2526
150	1907	2513
151	1920	2501
152	1932	2488
153	1944	2475
154	1958	2463
155	1970	2450
156	1982	2436
157	1994	2424
158	2006	2410
159	2019	2398
160	2032	2386
161	2045	2373
162	2057	2360
163	2069	2347
164	2082	2335
165	2095	2323
166	2108	2310
167	2121	2298
168	2134	2286
169	2147	2273
170	2160	2261
171	2173	2248
172	2186	2236
173	2198	2224
174	2212	2212
175	2224	2199
176	2236	2186
177	2249	2173
178	2261	2160
179	2273	2146
180	2284	2133
181	2297	2120
182	2309	2107
183	2321	2094
184	2334	2081
185	2346	2068
186	2358	2056
187	2370	2042
188	2383	2030
189	2395	2016
190	2408	2005
191	2421	1992
192	2433	1979
193	2445	1966
194	2456	1952
195	2469	1940
196	2481	1927
197	2493	1914
198	2505	1901
199	2518	1889
200	2531	1876
201	2544	1864
202	2556	1851
203	2568	1838
204	2581	1825
205	2593	1812
206	2605	1800
207	2618	1787
208	2630	1774
209	2643	1762
210	2655	1749
211	2668	1736
212	2680	1724
213	2692	1711
214	2704	1698
215	2717	1685
216	2729	1673
217	2742	1660
218	2755	1648
219	2768	1635
220	2781	1623
221	2793	1610
222	2805	1597
223	2817	1584
224	2830	1572
225	2842	1559
226	2854	1546
227	2868	1534
228	2881	1522
229	2893	1509
230	2906	1497
231	2918	1484
232	2930	1471
233	2945	1460
234	2958	1447
235	2971	1435
236	2989	1425
237	3006	1415
238	3022	1403
239	3037	1392
240	3050	1379
241	3066	1368
242	3078	1355
243	3094	1344
244	3110	1333
245	3133	1324
246	3150	1313
247	3165	1302
248	3181	1290
249	3195	1278
250	3208	1265
251	3222	1253
252	3237	1241
253	3250	1228
254	3263	1215
255	3275	1202
256	3288	1189
257	3301	1177
258	3315	1164
259	3328	1152
260	3342	1139
261	3356	1127
262	3369	1114
263	3383	1102
264	3397	1089
265	3411	1077
266	3427	1065
267	3442	1053
268	3455	1040
269	3467	1027
270	3480	1014
271	3493	1001
272	3504	988
273	3516	975
274	3529	962
275	3542	949
276	3554	936
277	3566	923
278	3579	910
279	3592	898
280	3603	884
281	3616	872
282	3629	859
283	3641	846
284	3655	833
285	3668	820
286	3682	808
287	3695	795
288	3709	782
289	3723	770
290	3737	757
291	3750	744
292	3763	732
293	3776	719
294	3793	707
295	3806	694
296	3819	681
297	3834	669
298	3848	656
299	3863	643
300	3883	632
301	3920	623
302	3949	612
303	3971	600
304	3989	588
305	4007	576
306	4028	564
307	4045	551
308	4066	539
309	4089	527
310	4110	515
311	4131	503
312	4149	490
313	4191	480
314	4209	467
315	4228	454
316	4243	441
317	4257	428
318	4269	414
319	4283	401
320	4297	388
321	4312	374
322	4327	361
323	4339	348
324	4352	334
325	4366	321
326	4378	307
327	4392	294
328	4405	281
329	4419	267
330	4433	254
331	4446	241
332	4458	227
333	4471	214
334	4484	200
335	4498	187
336	4510	173
337	4521	160
338	4535	147
339	4548	133
340	4561	120
341	4574	106
342	4586	93
343	4600	80
344	4614	66
345	4626	53
346	4638	40
347	4651	26
348	4664	13
349	4677	0
